Rep #,PBS Drag APC,PBS Drag TC,BPW Drag APC,BPW Drag TC,PBS Drag gEC,BPW Drag gEC,PBS Boot APC,PBS Boot TC,BPW Boot APC,BPW Boot TC,PBS Boot gEC,BPW Boot gEC,Commodity,date
1,8.7391265442674,7.3463261752478,8.2382885259334,8.0142737145605,0.208453625,0.206106862,8.53236820818,7.4676428785433,8.6426327886046,7.5457227755965,0.209212428,0.131210773,melons,05_06_24
2,8.4699403426775,7.8179669010177,7.6758832286807,7.0888869837886,0.312421151,0.222717154,8.8431239707885,8.0649727204049,8.972493476763,7.4373802750656,0.183001358,0.14562612,melons,05_06_24
3,7.989985143331,6.9747451767743,7.2697661211914,6.944376779668,0.263793573,0.264701716,8.8113140760141,7.5699869730019,8.9987016597747,7.6061566829894,0.266280238,0.198320834,melons,05_06_24
4,8.1432090778593,7.5784381712508,7.3978515936714,6.581768190239,0.189890542,0.178229454,8.4442703807787,7.5173774791141,8.6745224937814,7.7932122811127,0.182544567,0.1761516,melons,05_06_24
5,8.1293174086548,7.7903151792368,7.0819143858542,6.7711245529011,0.247924477,0.214350936,9.2277332572198,8.0516419981642,8.5073172317795,7.9830834324142,0.235929201,0.238966727,melons,05_06_24
6,7.7801874640088,7.2573087187285,7.0942372618938,6.6114757398214,0.239578734,0.301437784,8.5301392945271,7.8504744453865,9.1559076094754,8.2528176224835,0.355297679,0.325378816,melons,05_06_24
7,8.3214318807551,7.566761726221,7.6407478234051,7.159261763283,0.29451906,2.640747823,9.2319830044518,8.5757649805367,9.5542000255636,8.7360436135084,0.384792503,0.427615011,melons,05_06_24
8,8.0981612551782,7.0470087327308,8.2872648667584,7.6947501933367,0.333398746,0.317026176,8.7001438205746,8.0451477540589,9.2442820898747,8.2265533229143,0.306891995,0.272656043,melons,05_06_24
9,7.7069918877543,7.0563265629928,7.5734586206874,6.8897285829081,0.238271483,0.213665293,8.4001949338712,7.5560102369526,8.2838420469221,7.8526206510588,0.211235664,0.249256106,melons,05_06_24
10,7.6514822545867,6.776420991195,8.9700530176982,6.0513579573756,0.237695498,3.438574101,8.3503561712721,7.7697940363854,9.102499548263,7.8722176311098,0.262140684,0.3437631,melons,05_06_24
11,8.1050128981782,7.6981791763462,8.9208187539524,8.7700333601615,0.268405587,0.22184875,7.6178419162859,6.9536340182091,6.4973669462019,5.1963369505379,2.441750657,1.400456933,melons,05_07_24
12,8.758758054929,8.0960002232474,7.7685387921469,7.493170786804,0.198515109,5.520754308,8.7516308491171,8.0379375879604,7.8241986195221,7.2221386281942,0.137254797,1.195809689,melons,05_07_24
13,8.933999937708,8.3354004784895,8.6529231770012,8.232706773618,0.268029965,0.238415959,8.0793187383658,7.6330740501192,6.9501046856998,6.4449547073799,0.249767571,0.284946722,melons,05_07_24
14,7.8699441721925,8.5361216631322,9.0549888431615,8.5095023071357,0.175715116,0.196115506,7.1402034046016,6.7990561857296,8.0787043090156,6.3091532303939,0.153847246,1.300553059,melons,05_07_24
15,7.1098829291516,6.9391867019826,9.0404828953976,8.1213060885122,0.253911469,0.198515109,7.7411477126283,6.4245126436338,7.2775582716271,6.6696687366384,0.255349396,0.249703511,melons,05_07_24
16,7.1526087286459,8.2081260564957,9.0001772268876,8.5877109650189,0.254578026,0.210196815,6.8408490290641,6.628545597354,8.7756149903164,7.3591915759504,0.181863887,0.197701874,melons,05_07_24
17,6.9653431052251,7.1372784045096,8.5750838564091,7.8148441953342,0.21063753,0.148165128,7.2986195229766,6.5784602195706,8.7952853606714,6.4910263948773,0.249639487,0.181960798,melons,05_07_24
18,6.5194488376686,6.2396081410745,7.642472071942,7.7973740319277,0.220133796,0.160126389,7.5393473396548,6.6282884229916,6.7206550585234,6.332934215033,0.209386704,1.602555746,melons,05_07_24
19,7.6951197781093,7.1957221286785,8.2698999689368,8.0227453540556,0.307969266,0.27281205,8.0151173414072,6.8814046804915,6.7516212028446,6.1195979881392,2.25815539,0.336219978,melons,05_07_24
20,8.164810248646,7.9843541841879,9.1526087286459,8.6852473112154,0.232920122,0.254578026,7.1059102180391,6.6938837480884,6.0922271312298,5.6942871225578,0.21690618,1.296347114,melons,05_07_24
21,7.1086711238939,5.5740539753423,7.3250648258284,6.219611039277,0.20485056,0.21928705,7.8486412742212,6.3209100261465,6.8440954007007,6.16443055156,0.18576001,0.16279073,beets,06_17_24
22,6.786614908791,5.276701140675,7.6995580050783,6.360263509319,0.222096114,0.239724959,7.1429097924156,5.9636133934847,7.1422849286017,6.4597053404538,0.15520044,0.125095163,beets,06_17_24
23,6.8081624594505,5.6272186976004,7.1775601861452,6.2602297600387,0.188399348,0.192584248,7.1761104981193,6.5898447739745,7.7800632335206,6.5730382602213,0.13381274,0.199925996,beets,06_17_24
24,7.4680494996688,5.7776796670947,7.5922994134673,6.3791742322558,0.23402475,0.265800787,6.7986702900692,6.4455426258135,7.3296114284457,6.9840594892334,0.218471227,0.218758413,greens,06_17_24
25,7.8757452355181,5.3705952571982,7.3254276634564,6.3051060859177,0.247766997,0.240164812,7.170653126904,5.967827614601,7.0119764023729,6.2778419809736,0.172289162,0.179381944,greens,06_17_24
26,7.4135869617514,6.1419407437726,7.5078574830914,6.4502572040933,0.255248487,0.265066939,8.1730740000991,6.5980722415052,7.5331487786156,6.7527646467997,0.212442987,0.232481458,greens,06_17_24
27,6.9411892969065,3.7769972611506,6.7631572645265,4.8227429545107,0.254912766,0.266354172,5.9421215147472,5.0258032620215,6.4439344399022,4.7834226873853,0.519515764,0.506285338,peppers,06_17_24
28,6.7767872114549,3.8888706273776,6.8037249287302,4.5944653064219,0.260757353,0.286638004,5.9723478504719,4.1350751479696,6.6092030273735,4.9516257081957,0.465477583,0.455116512,peppers,06_17_24
29,7.064366079702,4.2955049050886,6.9284769974362,4.5305369887641,0.248082178,1.974234488,6.393176218876,4.0112243155881,6.3322728566793,4.5025345720743,0.546073112,0.666136428,peppers,06_17_24
30,6.4809179280858,4.8627711168644,6.8210749690191,5.5992262194028,0.268217628,0.229673567,7.1614423753387,5.7841168218645,6.9479196683544,5.9171393337634,2.617977099,0.334583034,beets,07_01_24
31,6.4736391461657,5.4060785126422,7.0760246618906,5.9327045744547,2.547885175,0.253911469,6.8866866180409,5.6136853459772,7.0764012414455,6.2088279994464,1.011625355,0.357336703,beets,07_01_24
32,6.4570663200025,4.7603064704716,6.9238752740829,5.5975394131542,0.232920122,0.298769707,6.967082278328,5.802272029682,6.5745502400251,5.6527780400654,0.344164339,2.698058022,beets,07_01_24
33,6.9129195848598,6.1559576335461,7.3390763065914,6.8831443509417,1.708799602,0.280462528,7.415642316806,6.8018439222068,7.4203795266173,6.8439815256105,0.318745533,1.660711682,greens,07_01_24
34,7.1164562655578,5.9396155766666,6.328473337747,6.0210799391271,2.085422032,1.949838484,7.1994330581364,6.4018532559145,7.1980689166839,6.3263873939436,1.995313075,1.471070189,greens,07_01_24
35,7.42603561345,6.6590685300189,6.1727566132565,6.4797769726096,2.166970119,0.308227056,7.4661459343799,6.7938281248153,7.6577673544621,6.9542497223753,0.284259422,1.879616104,greens,07_01_24
36,6.9432224769042,6.0543729290269,7.0640063252815,5.0359776016813,1.165071227,0.279428173,7.0936257298249,6.5329584236552,6.9511678453978,6.5846363009774,0.396297867,0.475583923,peppers,07_01_24
37,7.0864471787205,5.854838591815,6.8708255010691,5.7129272468394,0.304662962,0.299491947,6.3422603985203,6.1736571608572,6.5787293272481,6.1430007576867,0.980532563,0.477740018,peppers,07_01_24
38,7.0251324076561,5.1564113222954,7.3224647495267,5.5162847755428,0.246826745,0.258142388,6.5938822160254,5.7090170491397,6.9498671792419,5.9895398840058,0.422847095,0.444584669,peppers,07_01_24
39,7.5866721166074,6.849913551382,7.8837915587346,7.1324334849389,0.253745435,0.270684439,8.3132266514409,7.5907755512554,8.1212701387447,7.4407835401027,3.692484447,3.139753544,apples,08_13_24
40,7.6526430405164,6.9189109299211,8.2414919648822,7.1553058172659,0.269349844,0.27126098,8.3406323163068,7.2862746539842,8.2170824453707,7.1231779425023,0.31653107,0.330389972,apples,08_13_24
41,7.9660178079324,7.0171703303798,7.6053253787557,7.0175058265424,0.292903283,4.480386642,8.1367980671534,7.1967959968287,7.8239797740235,7.1643804615868,0.352717151,0.343629603,apples,08_13_24
42,7.5905083896325,6.7502092325,7.7143381020167,7.0665206201281,0.31813294,0.317578428,7.9814335554816,7.0188600534222,7.6582894786144,7.1763693410129,0.34020178,0.349624043,apples,08_13_24
43,7.6537500070146,6.8911109228092,7.9099243429746,6.9768711326052,0.306178661,0.327325919,8.1555762590815,7.1433418026645,8.1750681855981,7.2931674976761,3.076395013,0.334959104,apples,08_13_24
44,6.963333686886,5.6038519300331,6.9628046766153,5.3052273574375,0.265984961,0.242841711,7.996328419241,6.8092417758838,7.788139761719,6.5548615503218,0.425100192,0.450824518,apples,08_20_24
45,7.1444019670308,5.15416180432,7.242867876344,6.0168230121341,0.250474645,0.263432266,8.0320938334573,6.4890117020887,7.913151783578,6.3654494545727,0.344835576,1.657879278,apples,08_20_24
46,6.9806070996822,5.1866615821153,6.9350818668094,5.6472133172034,0.266724534,0.260054259,7.9574075876237,6.6695390380177,8.0849042614149,7.0826124646353,0.421732118,0.40307533,apples,08_20_24
47,6.9012790277838,5.3441861819724,7.2728501868363,5.6930665902195,0.279428173,0.258487666,8.2386825967289,6.6293233666594,8.2596227366209,6.4714295479431,0.429235678,0.357777346,apples,08_20_24
48,7.1378172971039,5.7566907874415,6.6603492516579,5.7478030236715,2.5580337,0.27320295,8.2349305552859,6.4024216425796,7.9430762156129,6.9606005605964,0.351725819,2.826570647,apples,08_20_24
